male names,female names
John,Anita
William,Ila
James,Jewell
Charles,Maudie
George,Lessie
Frank,Lora
Joseph,Cecile
Thomas,Zella
Henry,Fay
Robert,Jeannette
Edward,Bettie
Harry,Olivia
Walter,Leah
Arthur,Johnnie
Fred,Myra
Albert,Rita
Samuel,Jewel
David,Francis
Louis,Gracie
Joe,Sue
Charlie,Hallie
Clarence,Neva
Richard,Claire
Andrew,Dovie
Daniel,Lilly
Ernest,Lenora
Will,Rhoda
Jesse,Harriett
Oscar,Ophelia
Lewis,Geraldine
Peter,Johanna
Benjamin,Louisa
Frederick,Lettie
Willie,Katharine
Alfred,Dorothea
Sam,Lou
Roy,Pearlie
Herbert,Helene
Jacob,Lee
Tom,Elvira
Elmer,Antoinette
Carl,Bess
Lee,Angeline
Howard,Christina
Martin,Hettie
Michael,Nona
Bert,Rosetta
Herman,Zelma
Jim,Cecil
Francis,Linda
Harvey,Nola
Earl,Isabella
Eugene,Phyllis
Ralph,June
Ed,Lily
Claude,Claudia
Edwin,Dessie
Ben,Marcella
Charley,Lucinda
Paul,Corinne
Edgar,Rosalie
Isaac,Edythe
Otto,Lorraine
Luther,Gertie
Lawrence,Oma
Ira,Reba
Patrick,Alvina
Guy,Angelina
Oliver,Erna
Theodore,Wilhelmina
Hugh,Annette
Clyde,Blanch
Alexander,Clarice
August,Linnie
Floyd,Mathilda
Homer,Merle
Jack,Abbie
Leonard,Constance
Horace,Eugenia
Marion,Helena
Philip,Vesta
Allen,Louella
Archie,Shirley
Stephen,Hulda
Chester,Priscilla
Willis,Corine
Raymond,Janet
Rufus,Angela
Warren,Eloise
Jessie,Mittie
Milton,Golda
Alex,Jannie
Leo,Catharine
Julius,Lorene
Ray,Lona
Sidney,Elsa
Bernard,Minerva
Dan,Leota
Jerry,Zora
Calvin,Jimmie
Perry,Meta
Dave,Dolly
Anthony,Orpha
Eddie,Rosella
Amos,Tessie
Dennis,Wanda
Clifford,Eddie
Leroy,Ernestine
Wesley,Leta
Alonzo,Evie
Garfield,Isabell
Franklin,Mina
Emil,Patricia
Leon,Carmen
Nathan,Dolores
Harold,Maybelle
Matthew,Nelle
Levi,Odessa
Moses,Pansy
Everett,Yvonne
Lester,Cynthia
Winfield,Artie
Adam,Lura
Lloyd,Fanny
Mack,Georgie
Fredrick,Aline
Jay,Cassie
Jess,Donna
Melvin,Eileen
Noah,Floy
Aaron,Willa
Alvin,Iona
Norman,Lauretta
Gilbert,Lenore
Elijah,Malinda
Victor,Vida
Gus,Cordelia
Nelson,Mazie
Jasper,Alpha
Silas,Polly
Christopher,Peggy
Jake,Billie
Mike,Elise
Percy,Ivy
Adolph,Jeanne
Maurice,Mandy
Cornelius,Ona
Felix,Era
Reuben,Annabelle
Wallace,Bella
Claud,Chloe
Roscoe,Ester
Sylvester,Carol
Earnest,Frankie
Hiram,Iola
Otis,Leora
Simon,Phoebe
Willard,Zula
Irvin,Una
Mark,Angie
Jose,Mona
Wilbur,Verda
Abraham,Evangeline
Virgil,Ione
Clinton,Maxine
Elbert,Myrtie
Leslie,Rae
Marshall,Aileen
Owen,Alva
Wiley,Leatha
Anton,Leone
Morris,Molly
Manuel,Natalie
Phillip,Ocie
Augustus,Queen
Emmett,Aurelia
Eli,Estell
Nicholas,Agatha
Wilson,Ava
Alva,Clyde
Harley,Ellie
Newton,Lina
Timothy,Sybil
Marvin,Bell
Ross,Clare
Curtis,Sudie
Edmund,Iris
Jeff,Belva
Elias,Vada
Harrison,Hortense
Stanley,Idella
Columbus,Joyce
Lon,Beryl
Ora,Connie
Ollie,Florine
Russell,Imogene
Pearl,Vina
Solomon,Emilie
Arch,Judith
Asa,Madeleine
Clayton,Reva
Enoch,Avis
Irving,Carmela
Mathew,Florida
Nathaniel,Joan
Scott,Lilla
Hubert,Lovie
Lemuel,Marietta
Andy,Pinkie
Ellis,Tommie
Emanuel,Corrine
Joshua,Esta
Millard,Gretchen
Vernon,Pearle
Wade,Berta
Cyrus,Lida
Miles,Mabelle
Rudolph,Claudie
Sherman,Dixie
Austin,Donnie
Bill,Elisabeth
Chas,Lue
Lonnie,Octavia
Monroe,Dena
Byron,Nan
Edd,Savannah
Emery,Tina
Grant,Tressie
Jerome,Antonia
Max,Elda
Mose,Elinor
Steve,Lavina
Gordon,Lennie
Abe,Pattie
Pete,Veda
Chris,Ferne
Clark,Rhea
Gustave,Tennie
Orville,Adelia
Lorenzo,Celeste
Bruce,Elaine
Marcus,Ira
Preston,Adell
Bob,Albina
Dock,Ludie
Donald,Margret
Jackson,Mercedes
Cecil,Patsy
Barney,Tena
Delbert,Bernadette
Edmond,Easter
Anderson,Emmie
Christian,Maurine
Glenn,Wilda
Jefferson,Zola
Luke,Arlene
Neal,Camille
Burt,Paula
Ike,Robbie
Myron,Dona
Tony,Georgiana
Conrad,Harriette
Joel,John
Matt,Zelda
Riley,Alyce
Vincent,Elna
Emory,Glenna
Isaiah,Melvina
Nick,Rilla
Ezra,Charity
Green,Kattie
Juan,Lyda
Clifton,Melba
Lucius,Rachael
Porter,William
Arnold,Zona
Bud,Julie
Jeremiah,Magnolia
Taylor,Vinnie
Forrest,Loraine
Roland,Lucia
Spencer,Luvenia
Burton,Marvel
Don,Rowena
Emmet,Bennie
Gustav,Eleanora
Louie,James
Morgan,Lavinia
Ned,Manuela
Van,Nadine
Ambrose,Ursula
Chauncey,Bridget
Elisha,Camilla
Ferdinand,Carolina
General,Cordie
Julian,Leonora
Kenneth,Melissa
Mitchell,Petra
Allie,Retta
Josh,Rosemary
Judson,Vallie
Lyman,Vernie
Napoleon,Winnifred
Pedro,Evalyn
Berry,George
Dewitt,Gloria
Ervin,Guadalupe
Forest,Jenny
Lynn,Jettie
Pink,Kitty
Ruben,Laverne
Sanford,Madelyn
Ward,Mallie
Douglas,Minna
Ole,Monica
Omer,Myrtis
Ulysses,Vergie
Walker,Adela
Wilbert,Allene
Adelbert,Clemmie
Benjiman,Emilia
Ivan,Francisca
Jonas,Hilma
Major,Madie
Abner,Mammie
Archibald,Margery
Caleb,Philomena
Clint,Adah
Dudley,Annabel
Granville,Annis
King,Bernadine
Mary,Eleanore
Merton,Gwendolyn
Antonio,Janice
Bennie,Joanna
Carroll,Lonie
Freeman,Vena
Josiah,Arvilla
Milo,Beaulah
Royal,Berniece
Dick,Bulah
Earle,Delphia
Elza,Delphine
Emerson,Eda
Fletcher,Elenora
Judge,Ima
Laurence,Marcia
Neil,Maye
Roger,Sadye
Seth,Alda
Glen,Althea
Hugo,Arline
Jimmie,Bobbie
Johnnie,Eve
Washington,Freddie
Elwood,Hope
Gust,Johnie
Harmon,Margarita
Jordan,Mellie
Simeon,Novella
Wayne,Queenie
Wilber,Ray
Clem,Sibyl
Evan,Susanna
Frederic,Viva
Irwin,Icie
Junius,Inga
Lafayette,Juana
Loren,Katheryn
Madison,Kittie
Mason,Mertie
Orval,Adella
Abram,Anastasia
Aubrey,Birtha
Elliott,Elmira
Hans,Eura
Karl,Faith
Minor,Joe
Wash,Lelah
Wilfred,Lonnie
Allan,Meda
Alphonse,Reta
Dallas,Rubie
Dee,Sophronia
Isiah,Valeria
Jason,Altha
Johnny,Greta
Lawson,Justine
Lew,Magdalena
Micheal,Magdalene
Orin,Maxie
Addison,Maybell
Cal,Ossie
Erastus,Verdie
Francisco,Albertine
Hardy,Etha
Lucien,Exie
Randolph,Osie
Stewart,Serena
Vern,Veva
Wilmer,Almeda
Zack,Bethel
Adrian,Celestine
Alvah,Elvera
Bertram,Ettie
Clay,Grayce
Ephraim,Hildegarde
Fritz,Leslie
Giles,Letitia
Grover,Lilian
Harris,Lorine
Isom,Lorna
Jesus,Luna
Johnie,Malissa
Jonathan,Myrna
Lucian,Yetta
Malcolm,Albertha
Merritt,Berenice
Otho,Beth
Perley,Clementine
Rolla,Diana
Sandy,Ethelyn
Tomas,Ethyl
Wilford,Garnet
Adolphus,Kathrine
Angus,Lea
Arther,Louvenia
Carlos,Margarette
Cary,Mariah
Cassius,Nita
Davis,Nova
Hamilton,Odell
Harve,Onie
Israel,Ramona
Leander,Roma
Melville,Rosia
Merle,Charles
Murray,Enid
Pleasant,Florrie
Sterling,Freida
Steven,Gail
Axel,Lucie
Boyd,Lucretia
Bryant,Madaline
Clement,Odie
Erwin,Prudence
Ezekiel,Sena
Foster,Signe
Frances,Amalia
Geo,Audie
Houston,Cathrine
Issac,Charlie
Jules,Crystal
Larkin,Delma
Mat,Georgianna
Morton,Joy
Orlando,Millicent
Pierce,Monnie
Prince,Nelda
Rollie,Rosalia
Rollin,Rossie
Sim,Samantha
Stuart,Selina
Wilburn,Sula
Bennett,Velva
Casper,Aggie
Christ,Alida
Dell,Deborah
Egbert,Elvie
Elmo,Eulah
Fay,Gene
Gabriel,Golden
Hector,Hassie
Horatio,Idell
Lige,Kay
Saul,Lenna
Smith,Liza
Squire,Lossie
Tobe,Marjory
Tommie,Neta
Wyatt,Ouida
Alford,Portia
Alma,Therese
